TEL,NAME,URL,ADRESS1,ADDRESS2,CITY,ZIP
(212) 514-3700,Alexander Hamilton U.S. Custom House,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,New York,10004
(718) 816-4506,Alice Austen House Museum,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,10305
(212) 368-5900,American Academy of Arts and Letters,http://www.artsandletters.org/,633 W. 155th St.,,New York,10032
(212) 265-1040,American Folk Art Museum,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,10019
(212) 363-3200,American Immigration History Center,http://www.ellisisland.org/,Ellis Island,,New York,0
(212) 769-5100,American Museum of Natural History,http://www.amnh.org/,Central Park West at 79th Street,,New York,10024
(212) 571-4470,American Numismatic Society,http://www.numismatics.org/,75 Varick St,11th Floor,New York,10013
(212) 249-8950,Americas Society,http://as.americas-society.org/,680 Park Ave.,,New York,10021
(212) 431-7993,Anne Frank Center USA,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,10012
(212) 288-6400,Asia Society,http://www.asiasociety.org/,725 Park Avenue,,New York,10021
,Audubon Terrace,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Broadway at 155 Street,,New York,10032
(718) 885-1461,Bartow-Pell Mansion,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,10464
(718) 359-0528,Bowne House,http://www.bownehouse.org/,37-01 Bowne Street,,Queens,11354
(718) 881-8900,Bronx Historical Society & Musem,http://www.bronxhistoricalsociety.org/,3309 Bainbridge Ave,,Bronx,10467
(718) 681-6000,Bronx Museum of the Arts (BXMA),http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,10456
(718) 735-4400,Brooklyn Children's Museum,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,11213
(718) 222-4111,Brooklyn Historical Society,http://www.brooklynhistory.org/default/index.html,128 Pierrepont Street,,Brooklyn,11201
(718) 638-5000,Brooklyn Museum,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,11238
